Latitude,Longitude
-37.81349283433532,144.952370512958
-37.81349283433532,144.952370512958
-37.81349283433532,144.952370512958
-37.81452837608812,144.95312287808093
-37.81452837608812,144.95312287808093
-37.81452837608812,144.95312287808093
-37.81434083605624,144.95418647045418
-37.81608071972589,144.95368756684016
-37.81741178346284,144.95492880385547
-37.8183181139925,144.95600892652027
-37.8183181139925,144.95600892652027
-37.81679753247101,144.95662328133346
-37.81744223883302,144.95510444832527
-37.8163084930572,144.9560557739876
-37.8163084930572,144.9578957739876
-37.81721792907784,144.9574122182779
-37.815501232449414,144.9582495071683
-37.8139433703752,144.95833115126004
-37.81564944042066,144.95734615126005
-37.81639944042065,144.95864518936574
-37.81683515438272,144.95730419967776
-37.8178904200349,144.95635403421673
-37.81623663898971,144.95716063712683
-37.81536632808478,144.95797221517532
-37.816863219045416,144.95720951113574
-37.81614077434014,144.9579576245281
-37.81728452462268,144.95685311771905
-37.81744408777702,144.95786055982646
-37.81744408777702,144.95786055982646
-37.8184547181785,144.95745223863963
-37.8184547181785,144.95745223863963
-37.8184547181785,144.95745223863963
-37.818786725830456,144.95574420734044
-37.818667563382334,144.95687796230118
-37.818667563382334,144.95687796230118
-37.81834145138551,144.9580950288423
-37.81834145138551,144.9580950288423
-37.81834145138551,144.9580950288423
-37.81834145138551,144.9580950288423
-37.81834145138551,144.9580950288423
-37.81834145138551,144.9580950288423
-37.81834145138551,144.9580950288423
-37.81834145138551,144.9580950288423
-37.816918091969505,144.9583717018856
-37.8165009190271,144.9596556281826
-37.81541446185244,144.95982770609413
-37.81703191615998,144.95945428734393
-37.81606800082753,144.96038512956034
-37.81606800082753,144.96038512956034
-37.81606800082753,144.96038512956034
-37.81713189213418,144.9589208088005
-37.817866678246645,144.95807553407067
-37.817866678246645,144.95807553407067
-37.817866678246645,144.95807553407067
-37.817866678246645,144.95807553407067
-37.8168769068075,144.9595429305741
-37.8168769068075,144.9595429305741
-37.8168769068075,144.9595429305741
-37.81597297436462,144.9603014199535
-37.81597297436462,144.9603014199535
-37.81529161949835,144.96111342706322
-37.81529161949835,144.96111342706322
-37.81432161949835,144.96279351634658
-37.81432161949835,144.96279351634658
-37.81432161949835,144.96279351634658
-37.81432161949835,144.96279351634658
-37.81537479578887,144.96139590420398
-37.81537479578887,144.96139590420398
-37.81537479578887,144.96139590420398
-37.81537479578887,144.96139590420398
-37.81436968300745,144.96277932326436
-37.81436968300745,144.96277932326436
-37.81436968300745,144.96277932326436
-37.813463602891275,144.96448341211857
-37.813463602891275,144.96448341211857
-37.81392213329601,144.965383328708
-37.81414739892567,144.96680559991844
-37.81414739892567,144.96680559991844
-37.81414739892567,144.96680559991844
-37.81414739892567,144.96680559991844
-37.81258122336676,144.96691511758223
-37.813142136401815,144.96537402168414
-37.81409166493826,144.96629097073316
-37.8139922266214,144.96818836684918
-37.8139922266214,144.96818836684918
-37.8139922266214,144.96818836684918
-37.8139922266214,144.96818836684918
-37.8145855392506,144.97001439536047
-37.8145855392506,144.97001439536047
-37.8145855392506,144.97001439536047
-37.81314746877652,144.97071578919534
-37.812115417522094,144.97128786454724
-37.81136179329253,144.9727669353774
-37.81264129503882,144.9722238191088
-37.81313572222982,144.97374550953487
-37.81313572222982,144.97374550953487
-37.81392601837928,144.97205071397312
-37.81251660284395,144.97222376844076
-37.81251660284395,144.97222376844076
-37.81372641855509,144.97220265102897
